,Latitude,Longitude,dt,Altitude,hdop
0,40.52229,141.52564,2020/05/20 23:10:17,10.23,6.1
1,40.52722,141.54451,2020/05/20 23:15:17,9.6,11.1
2,40.5389,141.56349,2020/05/20 23:20:17,9.36,3.5
3,40.53745,141.55987,2020/05/20 23:25:17,9.35,3.2
4,40.53916,141.55758,2020/05/21 00:40:16,46.92,1.2
5,40.53896,141.55771,2020/05/21 00:45:12,46.88,1.3
6,40.53898,141.55761,2020/05/21 00:50:15,45.1,1.4
7,40.53898,141.5576,2020/05/21 00:55:13,43.23,1.4
8,40.53903,141.5577,2020/05/21 01:00:15,43.62,4.8
9,40.53893,141.55777,2020/05/21 01:05:15,12.66,1.3
10,40.53898,141.55796,2020/05/21 01:10:16,33.31,1.6
11,40.53891,141.55789,2020/05/21 01:15:16,34.64,1.5
12,40.53892,141.55787,2020/05/21 01:20:10,38.97,1.1
13,40.53899,141.55781,2020/05/21 01:25:12,39.34,2.4
14,40.53896,141.55788,2020/05/21 01:30:16,39.17,2.4
15,40.5389,141.55798,2020/05/21 01:35:14,37.04,2.4
16,40.53888,141.55774,2020/05/21 01:40:13,41.52,4.1
17,40.53914,141.55755,2020/05/21 01:45:11,42.13,4.4
18,40.53904,141.55761,2020/05/21 01:50:13,41.58,2.2
19,40.53908,141.55761,2020/05/21 01:55:17,30.97,1.8
20,40.54927,141.55493,2020/05/21 02:00:17,31.07,4.5
21,40.53897,141.55753,2020/05/21 02:05:11,32.09,3.8
22,40.53949,141.55621,2020/05/21 02:10:17,29.43,1.3
23,40.53979,141.55718,2020/05/21 02:15:10,38.49,4.2
24,40.53905,141.55767,2020/05/21 02:20:12,42.38,1.4
25,40.53908,141.55769,2020/05/21 02:25:10,39.9,2.4
26,40.53907,141.55772,2020/05/21 02:30:10,41.99,1.4
27,40.53911,141.55762,2020/05/21 02:35:11,42.91,1.5
28,40.5391,141.55766,2020/05/21 02:40:10,44.73,1.4
29,40.53908,141.55769,2020/05/21 02:45:10,44.62,1.5
30,40.5391,141.55772,2020/05/21 02:50:10,42.91,1.3
31,40.53908,141.55765,2020/05/21 02:55:10,39.12,1.3
32,40.53899,141.55758,2020/05/21 03:00:16,39.64,3.4
33,40.53905,141.5576,2020/05/21 03:05:11,38.66,2.9
34,40.53908,141.55768,2020/05/21 03:10:15,39.92,1.2
35,40.53907,141.55763,2020/05/21 03:15:14,39.54,2.9
36,40.53908,141.55768,2020/05/21 03:20:11,40.32,1.4
37,40.53909,141.55772,2020/05/21 03:25:10,41.08,2.4
38,40.53906,141.55765,2020/05/21 03:30:15,40.67,1.4
39,40.53908,141.55766,2020/05/21 03:35:11,39.19,1.4
40,40.53906,141.5577,2020/05/21 03:40:11,40.71,1.4
41,40.53912,141.55773,2020/05/21 03:45:11,38.9,1.4
42,40.53909,141.55768,2020/05/21 03:50:11,38.58,1.9
