,Latitude,Longitude,dt,Altitude,hdop
0,40.53902,141.55751,2022/05/06 00:00:03,45.49,1.3
1,40.53903,141.55753,2022/05/06 00:05:08,37.35,1.3
2,40.53904,141.55759,2022/05/06 00:10:05,40.24,1.1
3,40.53902,141.55751,2022/05/06 00:15:05,44.36,1.3
4,40.539,141.55756,2022/05/06 00:20:05,43.29,2.9
5,40.53905,141.55753,2022/05/06 00:25:05,48.51,1.3
6,40.53902,141.55758,2022/05/06 00:30:05,43.47,1.1
7,40.539,141.55756,2022/05/06 00:35:07,44.37,1.2
8,40.53901,141.55764,2022/05/06 00:40:05,43.65,2.6
9,40.53907,141.55752,2022/05/06 00:45:05,39.7,1.8
10,40.53906,141.55755,2022/05/06 00:50:05,39.89,1.7
11,40.53903,141.55756,2022/05/06 00:55:05,38.97,1.4
12,40.53908,141.55756,2022/05/06 01:00:08,39.38,1.7
13,40.53906,141.55756,2022/05/06 01:05:05,39.46,1.5
14,40.5391,141.55758,2022/05/06 01:10:06,40.91,2.2
15,40.54662,141.52598,2022/05/06 01:15:05,63.42,1.1
16,40.54333,141.50587,2022/05/06 01:20:05,37.99,1.5
17,40.54378,141.50669,2022/05/06 01:25:06,27.34,4.8
18,40.54322,141.50845,2022/05/06 01:30:05,32.37,1.2
19,40.54323,141.50843,2022/05/06 01:35:05,31.02,1.5
20,40.54324,141.50846,2022/05/06 01:40:05,31.99,2.0
21,40.54345,141.50863,2022/05/06 01:45:05,40.38,1.3
22,40.53863,141.5307,2022/05/06 01:50:06,59.09,1.3
23,40.53904,141.55751,2022/05/06 01:55:05,43.94,1.0
24,40.53902,141.55754,2022/05/06 02:00:05,44.25,1.4
25,40.53907,141.55755,2022/05/06 02:05:05,41.54,1.2
26,40.53904,141.55753,2022/05/06 02:10:05,40.0,1.1
27,40.539,141.55751,2022/05/06 02:15:05,30.27,1.2
28,40.53901,141.55756,2022/05/06 02:20:05,36.0,1.2
29,40.53905,141.5576,2022/05/06 02:25:05,43.48,1.3
30,40.53904,141.55752,2022/05/06 02:30:05,33.89,1.7
31,40.53903,141.55757,2022/05/06 02:35:05,34.32,1.3
32,40.53906,141.55755,2022/05/06 02:40:05,35.29,1.3
33,40.53903,141.55758,2022/05/06 02:45:05,35.96,1.2
34,40.53902,141.55752,2022/05/06 02:50:05,40.82,1.4
35,40.53904,141.55753,2022/05/06 02:55:05,39.49,1.4
36,40.53911,141.55754,2022/05/06 03:00:06,41.58,1.5
37,40.53905,141.55755,2022/05/06 03:05:05,37.47,1.2
38,40.53904,141.55757,2022/05/06 03:10:05,37.8,1.4
39,40.53902,141.55754,2022/05/06 03:15:05,38.89,1.5
40,40.53901,141.5576,2022/05/06 03:20:05,39.52,1.9
41,40.53904,141.55751,2022/05/06 03:25:06,34.55,1.7
42,40.53901,141.55755,2022/05/06 03:30:05,32.56,1.5
43,40.53902,141.55749,2022/05/06 03:35:08,32.64,2.3
44,40.53902,141.55759,2022/05/06 03:40:05,33.7,1.8
45,40.53901,141.55757,2022/05/06 03:45:05,39.39,1.5
46,40.53908,141.55749,2022/05/06 03:50:05,38.45,1.6
47,40.53908,141.55756,2022/05/06 03:55:05,37.34,1.8
48,40.53902,141.55758,2022/05/06 04:00:05,40.25,2.7
49,40.53904,141.55752,2022/05/06 04:05:05,41.03,1.7
50,40.53907,141.55753,2022/05/06 04:10:06,38.25,1.6
51,40.53905,141.55749,2022/05/06 04:15:06,37.43,1.4
52,40.53904,141.55755,2022/05/06 04:20:06,38.13,2.1
53,40.53904,141.55757,2022/05/06 04:25:06,37.49,2.2
54,40.53907,141.55754,2022/05/06 04:30:06,38.18,2.8
55,40.53903,141.5575,2022/05/06 04:35:08,41.4,2.8
56,40.53905,141.55757,2022/05/06 04:40:06,41.27,1.3
57,40.53904,141.55754,2022/05/06 04:45:06,41.69,1.2
58,40.53907,141.55759,2022/05/06 04:50:07,42.32,1.2
59,40.53905,141.55757,2022/05/06 04:55:07,39.84,2.8
60,40.53908,141.55771,2022/05/06 05:00:06,69.64,6.9
61,40.53907,141.55757,2022/05/06 05:05:06,40.08,1.2
62,40.53912,141.55763,2022/05/06 05:10:06,37.79,7.8
63,40.53919,141.5577,2022/05/06 05:15:06,47.89,4.3
64,40.53907,141.55754,2022/05/06 05:20:06,45.25,5.4
65,40.5391,141.55759,2022/05/06 05:25:12,45.08,2.9
66,40.53906,141.55765,2022/05/06 05:30:06,44.56,3.6
67,40.53906,141.55756,2022/05/06 05:35:06,44.75,2.2
68,40.53907,141.55764,2022/05/06 05:40:06,42.01,2.0
69,40.53905,141.55755,2022/05/06 05:45:08,43.82,2.0
70,40.53908,141.55757,2022/05/06 05:50:06,47.92,1.7
71,40.53908,141.55757,2022/05/06 05:55:07,46.52,3.6
72,40.53903,141.55749,2022/05/06 06:00:06,48.52,2.2
73,40.53906,141.55743,2022/05/06 06:05:06,40.44,2.2
74,40.53908,141.55752,2022/05/06 06:10:06,42.56,1.6
75,40.53902,141.55754,2022/05/06 06:15:09,34.57,1.8
76,40.53909,141.55755,2022/05/06 06:20:08,45.5,1.9
77,40.539,141.55757,2022/05/06 06:25:06,43.83,2.1
78,40.539,141.54986,2022/05/06 06:30:07,54.75,1.2
79,40.54703,141.51568,2022/05/06 06:35:09,36.37,2.4
80,40.54534,141.5118,2022/05/06 06:40:08,36.97,2.8
81,40.54453,141.51208,2022/05/06 06:45:07,36.13,1.2
82,40.5445,141.51206,2022/05/06 06:50:06,36.5,5.4
83,40.55837,141.52154,2022/05/06 06:55:07,37.42,1.0
84,40.58322,141.53342,2022/05/06 07:00:06,48.62,2.3
85,40.60765,141.54825,2022/05/06 07:05:08,49.46,1.2
86,40.62959,141.56969,2022/05/06 07:10:07,50.52,1.4
87,40.6532,141.58598,2022/05/06 07:15:06,58.47,3.9
88,40.67499,141.58911,2022/05/06 07:20:06,57.9,1.3
89,40.6937,141.61208,2022/05/06 07:25:06,58.68,1.4
90,40.70878,141.63927,2022/05/06 07:30:06,55.44,1.2
91,40.72944,141.66268,2022/05/06 07:35:06,51.25,1.1
92,40.73058,141.66397,2022/05/06 07:40:06,36.61,1.1
93,40.73458,141.66818,2022/05/06 07:45:06,57.99,4.7
94,40.75378,141.69119,2022/05/06 07:50:06,58.78,3.6
95,40.76092,141.69652,2022/05/06 07:55:06,53.45,1.1
96,40.771,141.67284,2022/05/06 08:00:06,55.2,1.1
97,40.79622,141.65985,2022/05/06 08:05:06,11.3,8.0
98,40.80874,141.67095,2022/05/06 08:10:06,27.81,1.9
99,40.8229,141.67602,2022/05/06 08:15:06,28.22,2.0
100,40.83847,141.6915,2022/05/06 08:20:08,39.52,1.7
101,40.8378,141.71817,2022/05/06 08:25:08,43.21,1.1
102,40.83609,141.75593,2022/05/06 08:30:06,44.59,1.9
103,40.83301,141.79807,2022/05/06 08:35:07,42.86,2.6
104,40.82168,141.83824,2022/05/06 08:40:07,44.83,1.3
105,40.80371,141.8811,2022/05/06 08:45:06,40.13,1.4
106,40.79479,141.88474,2022/05/06 08:50:06,32.91,1.5
107,40.78855,141.87026,2022/05/06 08:55:07,32.69,1.7
108,40.78696,141.86864,2022/05/06 09:00:06,31.59,1.5
109,40.78689,141.87047,2022/05/06 09:05:06,30.66,1.2
110,40.79735,141.87091,2022/05/06 09:10:06,31.97,1.2
111,40.79702,141.87321,2022/05/06 09:15:06,24.23,1.2
112,40.79653,141.87478,2022/05/06 09:20:06,28.36,1.3
113,40.79541,141.8763,2022/05/06 09:25:06,27.18,1.7
114,40.79455,141.87817,2022/05/06 09:30:06,27.11,2.0
115,40.79374,141.8801,2022/05/06 09:35:06,25.35,1.2
116,40.7838,141.88758,2022/05/06 09:40:06,47.69,1.1
117,40.78001,141.8926,2022/05/06 09:45:07,33.94,1.4
118,40.77882,141.89447,2022/05/06 09:50:06,29.3,2.4
119,40.77727,141.89566,2022/05/06 09:55:06,31.1,5.3
120,40.77416,141.8952,2022/05/06 10:00:06,36.8,1.1
121,40.75927,141.8807,2022/05/06 10:05:06,36.58,1.3
122,40.7589,141.88207,2022/05/06 10:10:06,27.79,2.5
123,40.75846,141.88337,2022/05/06 10:15:10,29.81,1.4
124,40.7581,141.88458,2022/05/06 10:20:08,29.42,1.3
125,40.75763,141.88608,2022/05/06 10:25:12,27.77,2.8
126,40.75739,141.88712,2022/05/06 10:30:06,29.16,1.2
127,40.75712,141.88841,2022/05/06 10:35:07,31.16,1.2
128,40.75683,141.88968,2022/05/06 10:40:06,30.78,1.0
129,40.75663,141.89096,2022/05/06 10:45:12,31.47,1.0
130,40.75621,141.89166,2022/05/06 10:50:06,30.94,1.1
131,40.7556,141.89266,2022/05/06 10:55:06,32.36,1.2
132,40.75517,141.89366,2022/05/06 11:00:06,28.96,1.1
133,40.75487,141.89461,2022/05/06 11:05:06,28.69,1.4
134,40.75458,141.89558,2022/05/06 11:10:06,28.24,2.3
135,40.75421,141.89658,2022/05/06 11:15:06,28.92,1.3
136,40.75419,141.89791,2022/05/06 11:20:06,30.4,1.4
137,40.75402,141.89915,2022/05/06 11:25:06,29.99,1.5
138,40.75372,141.90021,2022/05/06 11:30:06,31.21,2.0
139,40.75278,141.90128,2022/05/06 11:35:06,32.99,1.2
140,40.75262,141.90229,2022/05/06 11:40:06,33.6,2.0
141,40.75236,141.90361,2022/05/06 11:45:06,32.35,1.3
142,40.75037,141.90487,2022/05/06 11:50:06,32.36,1.2
143,40.75016,141.90603,2022/05/06 11:55:06,27.79,1.4
144,40.74941,141.90733,2022/05/06 12:00:06,33.99,2.1
145,40.74434,141.90473,2022/05/06 12:05:08,30.8,1.4
146,40.74428,141.90587,2022/05/06 12:10:06,33.82,1.2
147,40.74394,141.90731,2022/05/06 12:15:06,35.06,1.1
148,40.74363,141.90893,2022/05/06 12:20:06,35.23,3.2
149,40.74347,141.91044,2022/05/06 12:25:07,34.07,1.7
150,40.74311,141.91204,2022/05/06 12:30:08,34.73,1.8
151,40.74248,141.91334,2022/05/06 12:35:08,34.45,1.2
152,40.74173,141.91463,2022/05/06 12:40:06,35.58,2.0
153,40.74079,141.9157,2022/05/06 12:45:06,33.35,2.5
154,40.74026,141.9179,2022/05/06 12:50:07,32.68,1.4
155,40.739,141.9206,2022/05/06 12:55:08,33.73,1.4
156,40.73824,141.92197,2022/05/06 13:00:06,33.58,1.5
157,40.73757,141.92334,2022/05/06 13:05:06,31.95,1.4
158,40.73679,141.92466,2022/05/06 13:10:08,37.6,3.1
159,40.73593,141.92631,2022/05/06 13:15:06,38.05,1.4
160,40.73504,141.92701,2022/05/06 13:20:06,33.71,3.7
161,40.73433,141.92846,2022/05/06 13:25:06,36.31,2.6
162,40.73168,141.92977,2022/05/06 13:30:07,37.71,3.2
163,40.73107,141.93118,2022/05/06 13:35:07,39.19,2.3
164,40.73052,141.93253,2022/05/06 13:40:07,39.6,1.8
165,40.73005,141.93388,2022/05/06 13:45:06,33.38,1.4
166,40.72604,141.93737,2022/05/06 13:50:06,33.4,1.2
167,40.7252,141.93686,2022/05/06 13:55:07,36.88,2.3
168,40.72468,141.93783,2022/05/06 14:00:08,36.6,1.3
169,40.72414,141.93871,2022/05/06 14:05:06,39.32,1.2
170,40.72609,141.93151,2022/05/06 14:10:06,37.56,1.2
171,40.72561,141.93162,2022/05/06 14:15:06,37.22,1.4
172,40.72697,141.92958,2022/05/06 14:20:06,41.74,1.1
173,40.73567,141.94115,2022/05/06 14:25:07,40.49,3.0
174,40.73732,141.93709,2022/05/06 14:30:06,38.72,1.4
175,40.73657,141.92159,2022/05/06 14:35:07,51.77,1.4
176,40.72568,141.90856,2022/05/06 14:40:06,37.02,1.4
177,40.72267,141.90465,2022/05/06 14:45:07,36.48,1.3
178,40.72156,141.90289,2022/05/06 14:50:10,36.34,1.4
179,40.72148,141.90455,2022/05/06 14:55:06,48.57,1.3
180,40.72168,141.89803,2022/05/06 15:00:06,37.84,1.3
181,40.72666,141.89056,2022/05/06 15:05:06,41.6,1.3
182,40.72958,141.87732,2022/05/06 15:10:06,42.72,1.3
183,40.72553,141.85434,2022/05/06 15:15:10,41.38,1.4
184,40.72537,141.85629,2022/05/06 15:20:06,39.95,10.6
185,40.72582,141.84808,2022/05/06 15:25:07,39.08,1.4
186,40.72547,141.84797,2022/05/06 15:30:07,37.07,1.4
187,40.72492,141.84865,2022/05/06 15:35:06,35.21,1.5
188,40.72403,141.84313,2022/05/06 15:40:06,49.12,2.3
189,40.72236,141.83773,2022/05/06 15:45:06,41.01,1.5
190,40.72147,141.83922,2022/05/06 15:50:07,34.8,2.3
191,40.71946,141.83952,2022/05/06 15:55:10,37.06,1.5
192,40.71897,141.83988,2022/05/06 16:00:06,36.57,1.5
193,40.71862,141.84056,2022/05/06 16:05:12,36.55,4.2
