time_group,stay,trip,total,ratio,Fly,G,n_total,ma1day
2023-05-01T15:00:00Z,7,3,10,0.7,NA,NA,NA,NA
2023-05-01T15:10:00Z,7,3,10,0.7,NA,NA,NA,NA
2023-05-01T15:20:00Z,7,3,10,0.7,NA,NA,NA,NA
2023-05-01T15:30:00Z,6,4,10,0.6,NA,NA,NA,NA
2023-05-01T15:40:00Z,5,4,9,0.5555555555555556,NA,NA,NA,NA
2023-05-01T15:50:00Z,5,4,9,0.5555555555555556,NA,NA,NA,NA
2023-05-01T16:00:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T16:10:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T16:20:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T16:30:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T16:40:00Z,6,4,10,0.6,NA,NA,NA,NA
2023-05-01T16:50:00Z,6,4,10,0.6,NA,NA,NA,NA
2023-05-01T17:00:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T17:10:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T17:20:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T17:30:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T17:40:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T17:50:00Z,4,6,10,0.4,NA,NA,NA,NA
2023-05-01T18:00:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T18:10:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T18:20:00Z,4,5,9,0.4444444444444444,NA,NA,NA,NA
2023-05-01T18:30:00Z,5,5,10,0.5,NA,NA,NA,NA
2023-05-01T18:40:00Z,3,6,9,0.3333333333333333,NA,NA,NA,NA
2023-05-01T18:50:00Z,4,5,9,0.4444444444444444,NA,NA,NA,NA
2023-05-01T19:00:00Z,4,5,9,0.4444444444444444,NA,NA,NA,NA
2023-05-01T19:10:00Z,4,6,10,0.4,NA,NA,NA,NA
2023-05-01T19:20:00Z,4,6,10,0.4,NA,NA,NA,NA
2023-05-01T19:30:00Z,4,6,10,0.4,NA,NA,NA,NA
